NAME,OUTLET TYPE,PHONE NUMBER,STREET ADDRESS,PAYMENTS ACCEPTED,FARE MEDIA AVAILABLE,LAT,LON,CITY,Location
111th & Western Currency,Currency Exchange,773-233-3610,11230 1/2 S. Western Avenue,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.688905,-87.681065,Chicago,"11230 1 2 S Western Avenue
Chicago, IL 60643
(41.88106288000046, -87.68645005999969)"
112th & Vincennes Currency,Currency Exchange,773-239-1700,11207 S. Vincennes,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.689846,-87.664797,Chicago,"11207 Vincennes
Chicago, IL 60643
(41.699751422000475, -87.66459754499965)"
115th & Michigan Currency,Currency Exchange,773-264-0601,100 E. 115th Street,Varies,Purchase Transit Cards and Passes.,41.685347,-87.620667,Chicago,"100 115th Street
Chicago, IL 60628
(41.6853269930005, -87.62546000099968)"
119th & Halsted Currency,Currency Exchange,773-785-3141,11932 S. Halsted Street,Varies,Purchase Transit Cards and Passes.,41.676819,-87.641875,Chicago,"11932 Halsted Street
Chicago, IL 60628
(41.676810412000464, -87.64194023499965)"
12 Check Agencies,Currency Exchange,773-533-2927,600 S. Pulaski Road,Varies,Purchase Transit Cards and Passes.,41.873421,-87.725412,Chicago,"600 Pulaski Road
Chicago, IL 60624
(41.89206021700045, -87.72598079899967)"
141 Jackson Currency (Board of Trade),Currency Exchange,312-939-2167,141 W. Jackson Blvd.,Varies,Purchase Transit Cards and Passes.,41.878135,-87.632064,Chicago,"141 Jackson Blvd
Chicago, IL 60604
(41.878140646000475, -87.63229102299965)"
141 W Jackson Blvd C E  10136,Ventra Retail Location,,141 W Jackson Blvd.,Varies,Varies,41.8780574,-87.6322115,Chicago,"141 Jackson Blvd
Chicago 60604
(41.878140646000475, -87.63229102299965)"
147th & Cicero C E,Ventra Retail Location,,14655 South Cicero Ave,Varies,Varies,41.6261803,-87.7372955,Midlothian,"14655 Cicero Ave
Midlothian 60445
(41.62569787400048, -87.73725440599969)"
147th & Cicero Currency,Currency Exchange,708-385-2233,14655 S. Cicero Avenue,Varies,Purchase Transit Cards and Passes.,41.626085,-87.737317,Midlothian,"14655 Cicero Avenue
Midlothian, IL 60445
(41.62569787400048, -87.73725440599969)"
147th & Dixie Highway C E,Ventra Retail Location,,14725 South Dixie Highway,Varies,Varies,41.621691,-87.674016,Harvey,"14725 Dixie Highway
Harvey 60426
(41.621670244000484, -87.67437007099966)"
147th & Halsted C E,Ventra Retail Location,,14701 South Halsted,Varies,Varies,41.622338,-87.641065,Harvey,"14701 Halsted
Harvey 60426
(41.62230054200046, -87.64138022699967)"
147th & Halsted Currency,Currency Exchange,708-596-0328,14701 S. Halsted,Varies,Purchase Transit Cards and Passes.,41.622556,-87.64138,Harvey,"14701 Halsted
Harvey, IL 60426
(41.62230054200046, -87.64138022699967)"
147th & Pulaski C E,Ventra Retail Location,,14755 South Pulaski Ave,Varies,Varies,41.6238713,-87.7174067,Midlothian,"14755 Pulaski Ave
Midlothian 60445
(41.623880321000456, -87.71765094899968)"
154th & Park C E,Ventra Retail Location,,206 East 154th Street,Varies,Varies,41.6099323,-87.6438896,Harvey,"206 154th Street
Harvey 60426
(41.609890461000475, -87.66825029899968)"
157th & Dixie Highway C E,Ventra Retail Location,,15652 South Dixie Highway,Varies,Varies,41.604858,-87.669781,Markham,"15652 Dixie Highway
Markham 60426
(41.60495582100049, -87.66942534599968)"
159th & Halsted C E,Ventra Retail Location,,362 East 159th Street,Varies,Varies,41.600605,-87.635395,harvey,"362 159th Street
harvey 60426
(41.60087375600045, -87.63568734299969)"
159th & Kedzie C E,Ventra Retail Location,,3200 West 159th Street,Varies,Varies,41.6008529,-87.6942183,Markham,"3200 159th Street
Markham 60426
(41.6003826110005, -87.67775801499965)"
159th & Kedzie Currency,Currency Exchange,708-331-2711,3200 W. 159th Street,Varies,Purchase Transit Cards and Passes.,41.60078,-87.694646,Markham,"3200 159th Street
Markham, IL 60428
(41.60080814800045, -87.69472841099969)"
167th & Halsted C E,Ventra Retail Location,,16835 South Halsted,Varies,Varies,41.585023,-87.635699,Harvey,"16835 Halsted
Harvey 60426
(41.58502075100046, -87.63640006199967)"
183rd & Pulaski C E   ,Ventra Retail Location,,4035 West 183rd Street,Varies,Varies,41.5570588,-87.7145466,Country Club Hills,"4035 183rd Street
Country Club Hills 60478
(41.55710326900049, -87.71525750899968)"
18th & Ashland C E,Ventra Retail Location,,1804 South Ashland Avenue,Varies,Varies,41.8575012,-87.6663621,Chicago,"1804 Ashland Avenue
Chicago 60608
(41.857520553000484, -87.66616005899965)"
18th & Ashland Currency,Currency Exchange,312-829-9141,1804 S. Ashland Avenue,Varies,Purchase Transit Cards and Passes.,41.857622,-87.666137,Chicago,"1804 Ashland Avenue
Chicago, IL 60608
(41.857520553000484, -87.66616005899965)"
18th & Blue Island Currency,Currency Exchange,312-666-9670,1825 S. Blue Island,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.857223,-87.661709,Chicago,"1825 Blue Island
Chicago, IL 60608
(41.852243736000446, -87.66731751799966)"
18th Rail Station,CTA Rail Station,1-888-YOURCTA,1710 W. 18th Street,Cash,Purchase new Transit Cards and add value to Transit Cards and Chicago Cards.,41.857908,-87.669147,Chicago,"1710 18th Street
Chicago, IL 60608
(41.857783905000474, -87.66898345299967)"
21st & Ashland C E Inc  D,Ventra Retail Location,,2023 South Ashland,Varies,Varies,41.854309,-87.665544,Chicago,"2023 Ashland
Chicago 60608
(41.852243736000446, -87.66731751799966)"
26th & Central Park C E,Ventra Retail Location,,3540 West 26th Street,Varies,Varies,41.8444125,-87.7139714,Chicago,"3540 26th Street
Chicago 60623
(41.84443659900046, -87.71402018999964)"
26th & Central Park Currency,Currency Exchange,773-762-8330,3540 W. 26th Street,Varies,Purchase Transit Cards and Passes.,41.844396,-87.713966,Chicago,"3540 26th Street
Chicago, IL 60623
(41.84443659900046, -87.71402018999964)"
26th & Kedzie C E,Ventra Retail Location,,3221 West 26th Street,Varies,Varies,41.844248,-87.705881,Chicago ,"3221 26th Street
Chicago 60623
(41.844489876000466, -87.70578238399969)"
26th & Kedzie Currency,Currency Exchange,773-247-2074,3221 W. 26th Street,Varies,Purchase Transit Cards and Passes.,41.844507,-87.705785,Chicago,"3221 26th Street
Chicago, IL 60623
(41.844489876000466, -87.70578238399969)"
26th & Pulaski Currency,Currency Exchange,773-522-2525,4004 W. 26th Street,Varies,"Purchase Chicago Cards, Transit Cards, and Passes AND add value to Chicago Cards using Touch-n-Go.",41.844254,-87.724781,Chicago,"4004 26th Street
Chicago, IL 60623
(41.84430425900047, -87.72474292599969)"
2934 W. Grand Avenue Currency,Currency Exchange,773-278-2155,2934 W. Grand Avenue,Varies,Purchase Transit Cards and Passes.,41.895882,-87.700543,Chicago,"2934 Grand Avenue
Chicago, IL 60622
(41.89584085500047, -87.70039091199965)"
31st & Morgan Check Cashers,Ventra Retail Location,,906 West 31st Street,Varies,Varies,41.8381001,-87.649117,Chicago,"906 31st Street
Chicago 60608
(41.838043696000454, -87.64900127599964)"
31st & Morgan Currency,Currency Exchange,312-225-7591,906 W. 31st Street,Varies,Purchase Transit Cards and Passes.,41.838008,-87.64912,Chicago,"906 31st Street
Chicago, IL 60608
(41.838043696000454, -87.64900127599964)"
31st & Wallace C E,Ventra Retail Location,,3101 South Wallace,Varies,Varies,41.8378364,-87.6413429,Chicago ,"3101 Wallace
Chicago 60616
(41.8460738280005, -87.62909884999965)"
"31st & Wallace Check Cashiers, Inc.",Currency Exchange,312-225-7885,3101 S. Wallace,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.838016,-87.641413,Chicago,"3101 Wallace
Chicago, IL 60616
(41.8460738280005, -87.62909884999965)"
35-Bronzeville-IIT Rail Station,CTA Rail Station,1-888-YOURCTA,16 E. 35th Street,Cash,Purchase new Transit Cards and add value to Transit Cards and Chicago Cards.,41.831677,-87.625826,Chicago,"16 35th Street
Chicago, IL 60616
(41.83103106300047, -87.62689766099965)"
35th & Ashland C E,Ventra Retail Location,773-523-9266,1556 W. 35th Street,Varies,Varies,41.8304814,-87.6653659,Chicago ,"1556 35th Street
Chicago 60609
(41.83053214200049, -87.66471318999965)"
35th & Ashland Currency,Currency Exchange,773-523-9266,1556 W. 35th Street,Varies,Purchase Transit Cards and Passes.,41.830503,-87.665417,Chicago,"1556 35th Street
Chicago, IL 60609
(41.83053214200049, -87.66471318999965)"
35th & Indiana Currency,Currency Exchange,312-225-6722,126 E. 35th Street,Varies,Purchase Transit Cards and Passes.,41.831056,-87.622018,Chicago,"126 35th Street
Chicago, IL 60653
(41.81843090300049, -87.61270948899966)"
35th/Archer Rail Station,CTA Rail Station,1-888-YOURCTA,3528 S. Leavitt Street,Cash,Purchase new Transit Cards and add value to Transit Cards and Chicago Cards.,41.829353,-87.680622,Chicago,"3528 Leavitt Street
Chicago, IL 60609
(41.82909337400048, -87.68014039799965)"
3600 Commissary,Ventra Retail Location,773-327-5102,3600 N. Lake Shore Drive,Varies,Varies,41.948854,-87.643496,Chicago,"3600 Lake Shore Drive
Chicago 60613
(41.949039849000485, -87.64364513899966)"
3600 Commissary,Food Store,773-327-5102,3600 N. Lake Shore Drive,Varies,Purchase Transit Cards and Passes.,41.948855,-87.643128,Chicago,"3600 Lake Shore Drive
Chicago, IL 60613
(41.949039849000485, -87.64364513899966)"
39th & Cottage Grove Currency,Currency Exchange,773-924-1500,3960 S. Cottage Grove Avenue,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.822238,-87.606849,Chicago,"3960 Cottage Grove Avenue
Chicago, IL 60653
(41.82219042300045, -87.60684056199966)"
43rd & Ashland Currency,Currency Exchange,773-247-4422,4303 S. Ashland,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.815729,-87.665145,Chicago,"4303 Ashland
Chicago, IL 60609
(41.81387299200048, -87.65534702799965)"
"43rd & Ashland Currency Exchange, Inc.",Ventra Retail Location,773-247-4422,4303 S. Ashland,Varies,Varies,41.816001,-87.66503,Chicago,"4303 Ashland
Chicago 60609
(41.81387299200048, -87.65534702799965)"
"43rd & Pulaski Currency Exchange, Inc.",Ventra Retail Location,,4328 S Pulaski,Varies,Varies,41.814546,-87.724038,Chicago,"4328 Pulaski
Chicago 60632
(41.80875023100049, -87.70980732699968)"
43rd Rail Station,CTA Rail Station,1-888-YOURCTA,314 E. 43rd Street,Cash,Purchase new Transit Cards and add value to Transit Cards and Chicago Cards.,41.816462,-87.619021,Chicago,"314 43rd Street
Chicago, IL 60653
(41.81664040300046, -87.61901061699967)"
47th & Calumet C E,Ventra Retail Location,,310 East 47th Street,Varies,Varies,41.8094384,-87.6190404,Chicago,"310 47th Street
Chicago 60653
(41.8093916950005, -87.61914168899966)"
47th & Calumet Currency,Currency Exchange,773-268-9494,310 E. 47th Street,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.809344,-87.619089,Chicago,"310 47th Street
Chicago, IL 60615
(41.80229355300048, -87.59993951799964)"
"47th & Damen Currency, Inc.",Currency Exchange,773-247-5261,2001 W. 47th Street,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.808509,-87.674816,Chicago,"2001 47th Street
Chicago, IL 60609
(41.80853011500045, -87.67483098399964)"
47th & Halsted Check Cashers,Ventra Retail Location,,4651 South Halsted Street,Varies,Varies,41.809197,-87.645167,Chicago ,"4651 Halsted Street
Chicago 60609
(41.809153798000466, -87.64550662399967)"
47th & King Drive C E,Ventra Retail Location,,432 East 47th Street,Varies,Varies,41.8095166,-87.6150104,Chicago ,"432 47th Street
Chicago 60653
(41.80944018700046, -87.61497327999967)"
47th & King Drive Currency,Currency Exchange,773-268-4363,432 E. 47th Street,Varies,Purchase Transit Cards and Passes.,41.809408,-87.614974,Chicago,"432 47th Street
Chicago, IL 60615
(41.80229355300048, -87.59993951799964)"
47th & Lake Park Currency,Currency Exchange,773-536-6231,1400 E. 47th Drive,Varies,Purchase Transit Cards and Passes.,41.809686,-87.592374,Chicago,"1400 47th Drive
Chicago, IL 60653
(41.81843090300049, -87.61270948899966)"
47th & Michigan C E,Ventra Retail Location,,4700 South Michigan Avenue,Varies,Varies,41.80898,-87.623292,Chicago ,"4700 Michigan Avenue
Chicago 60615
(41.80898065700046, -87.62283078499968)"
47th & Michigan Currency,Currency Exchange,773-924-2500,4700 S. Michigan Avenue,Varies,Purchase Transit Cards and Passes.,41.809196,-87.622833,Chicago,"4700 Michigan Avenue
Chicago, IL 60615
(41.80898065700046, -87.62283078499968)"
"47th Halsted Check Cashiers, Inc.",Currency Exchange,773-373-0416,4651 S. Halsted Street,Varies,Purchase Transit Cards and Passes.,41.809182,-87.645549,Chicago,"4651 Halsted Street
Chicago, IL 60609
(41.809153798000466, -87.64550662399967)"
47th-Dan Ryan Rail Station,CTA Rail Station,1-888-YOURCTA,220 W. 47th Street,Cash,Purchase new Transit Cards and add value to Transit Cards and Chicago Cards.,41.810318,-87.63094,Chicago,"220 47th Street
Chicago, IL 60609
(41.80916080500049, -87.63157846799965)"
47th-South Elevated Rail Station,CTA Rail Station,1-888-YOURCTA,314 E. 47th Street,Cash,Purchase new Transit Cards and add value to Transit Cards and Chicago Cards.,41.809209,-87.618826,Chicago,"314 47th Street
Chicago, IL 60615
(41.80229355300048, -87.59993951799964)"
51st & Kedzie C E,Ventra Retail Location,,5100 South Kedzie,Varies,Varies,41.8007068,-87.7038991,Chicago,"5100 Kedzie
Chicago 60632
(41.80875023100049, -87.70980732699968)"
51st Rail Station,CTA Rail Station,1-888-YOURCTA,314 E. 51st Street,Cash,Purchase new Transit Cards and add value to Transit Cards and Chicago Cards.,41.80209,-87.618487,Chicago,"314 51st Street
Chicago, IL 60615
(41.8021165020005, -87.61883931499966)"
54th/Cermak Rail Station,CTA Rail Station,1-888-YOURCTA,2134 S. 54th Avenue,"Cash, Credit, Debit",Purchase new Transit Cards and add value to Transit Cards and Chicago Cards.,41.851663,-87.759598,Cicero,"2134 54th Avenue
Cicero, IL 60804
(41.85141230500045, -87.75899984799969)"
55th & California Currency,Currency Exchange,773-776-6800,5453 S. California,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.793952,-87.693805,Chicago,"5453 California
Chicago, IL 60632
(41.80875023100049, -87.70980732699968)"
"55th & California Currency Exchange, Inc.",Ventra Retail Location,,5453 S California,Varies,Varies,41.794296,-87.693783,Chicago,"5453 California
Chicago 60629
(41.7778224810005, -87.70800849499966)"
55th & Pulaski Currency,Currency Exchange,773-735-4300,5501 S. Pulaski,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.793158,-87.723157,Chicago,"5501 Pulaski
Chicago, IL 60629
(41.7778224810005, -87.70800849499966)"
"55th & Pulaski Currency Exchange, Inc",Ventra Retail Location,,5501 S Pulaski,Varies,Varies,41.793241,-87.722965,Chicago,"5501 Pulaski
Chicago 60629
(41.7778224810005, -87.70800849499966)"
55th & Racine Currency,Currency Exchange,773-436-0717,756 West Garfield Blvd,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.793729,-87.654863,Chicago,"5500 Racine Avenue
Chicago, IL 60636
(41.79350089600047, -87.65486077799966)"
59th & Kedzie C E,Ventra Retail Location,,5903 S. Kedzie Ave,Varies,Varies,41.7861881,-87.7033096,Chicago ,"5903 Kedzie Ave
Chicago 60629
(41.7861291530005, -87.70329709299966)"
59th & Kedzie Currency,Currency Exchange,773-434-2161,5903 S. Kedzie Avenue,Varies,Purchase Transit Cards and Passes.,41.786103,-87.703345,Chicago,"5903 Kedzie Avenue
Chicago, IL 60629
(41.7861291530005, -87.70329709299966)"
"62nd & Western Currency Exchange, Inc",Ventra Retail Location,,6152 S Western,Varies,Varies,41.781865,-87.683827,Chicago,"6152 Western
Chicago 60629
(41.7778224810005, -87.70800849499966)"
"63rd & Ashland  Currency Exchange, Inc",Ventra Retail Location,,6240 S Ashland,Varies,Varies,41.780257,-87.664579,Chicago,"6240 Ashland
Chicago 60636
(41.77666236500045, -87.66772594899965)"
63rd & Kedzie C E,Ventra Retail Location,,3148 West 63rd Street,Varies,Varies,41.7791023,-87.7026147,Chicago ,"3148 63rd Street
Chicago 60629
(41.77900495600045, -87.70228498499966)"
63rd & Morgan C E,Ventra Retail Location,,6301 South Morgan,Varies,Varies,41.7796752,-87.6496137,Chicago,"6301 Morgan
Chicago 60621
(41.77510250800049, -87.63886642199964)"
63rd & Morgan Currency,Currency Exchange,773-471-4900,6301 S. Morgan,Varies,Purchase Transit Cards and Passes.,41.779583,-87.649641,Chicago,"6301 Morgan
Chicago, IL 60621
(41.77510250800049, -87.63886642199964)"
63rd & Pulaski Currency,Currency Exchange,773-767-7636,4021 W. 63rd Street,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.778644,-87.723739,Chicago,"4021 63rd Street
Chicago, IL 60629
(41.77863489800046, -87.72362791599966)"
"63rd & Pulaski Currency Exchange, Inc",Ventra Retail Location,,4021 W 63rd Street,Varies,Varies,41.778753,-87.723852,Chicago,"4021 63rd Street
Chicago 60629
(41.77863489800046, -87.72362791599966)"
63rd & Racine Currency,Currency Exchange,773-778-0990,1200 W. 63rd Street,Varies,Purchase Transit Cards and Passes.,41.779608,-87.654564,Chicago,"1200 63rd Street
Chicago, IL 60636
(41.77960091400047, -87.65467065199965)"
63rd-Dan Ryan Rail Station,CTA Rail Station,1-888-YOURCTA,220 W. 63rd Street,Cash,Purchase new Transit Cards and add value to Transit Cards and Chicago Cards.,41.780536,-87.630952,Chicago,"220 63rd Street
Chicago, IL 60621
(41.780005522000465, -87.63092779399966)"
649 N. Ashland Marathon Station,Ventra Retail Location,,649 N. Ashland Avenue,Varies,Varies,41.8936865,-87.6671299,Chicago,"649 Ashland Avenue
Chicago 60622
(41.89362682000046, -87.66719787599965)"
67th & Pulaski Currency,Currency Exchange,773-585-8980,6638 S. Pulaski,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.772,-87.72259,Chicago,"6638 Pulaski
Chicago, IL 60629
(41.7778224810005, -87.70800849499966)"
"67th & Pulaski Currency Exchange, Inc",Ventra Retail Location,,6701 S Pulaski,Varies,Varies,41.771408,-87.722204,Chicago,"6701 Pulaski
Chicago 60629
(41.7778224810005, -87.70800849499966)"
69th & Ashland Currency,Currency Exchange,773-436-7300,6858 S. Ashland Avenue,Varies,Purchase Transit Cards and Passes.,41.768643,-87.663905,Chicago,"6858 Ashland Avenue
Chicago, IL 60636
(41.76929632200046, -87.66396278399964)"
69th Rail Station,CTA Rail Station,1-888-YOURCTA,15 W. 69th Street,Cash,Purchase new Transit Cards and add value to Transit Cards and Chicago Cards.,41.768367,-87.625724,Chicago,"15 69th Street
Chicago, IL 60621
(41.76915365400049, -87.62574357799969)"
7 Seas Food Mart,Ventra Retail Location,,6501 S. Cottage Grove Avenue   ,Varies,Varies,41.776554,-87.605452,Chicago,"6501 Cottage Grove Avenue
Chicago 60637
(41.77655082300049, -87.60584038099967)"
71st & Indiana Currency,Currency Exchange,773-224-4445,201 E. 71st Street,Varies,Purchase Transit Cards and Passes.,41.765614,-87.620017,Chicago,"201 71st Street
Chicago, IL 60637
(41.782310872000494, -87.60409768799968)"
71st & Jeffery C E ,Ventra Retail Location,,1953 East 71st Street,Varies,Varies,41.7660109,-87.5767022,Chicago ,"1953 71st Street
Chicago 60649
(41.76602090300048, -87.57715987199964)"
71st & Jeffery Currency,Currency Exchange,773-684-7744,7100 S. Jeffery,Varies,Purchase Transit Cards and Passes.,41.76603,-87.576297,Chicago,"7100 Jeffery
Chicago, IL 60649
(41.76254109700045, -87.56934633399965)"
71st & Wentworth C E,Ventra Retail Location,,7057 South Wentworth Avenue,Varies,Varies,41.765662,-87.62945,Chicago ,"7057 Wentworth Avenue
Chicago 60621
(41.76565023100045, -87.62977098199968)"
71st & Wentworth Currency,Currency Exchange,773-783-1515,7057 S. Wentworth,Varies,Purchase Transit Cards and Passes.,41.765582,-87.629775,Chicago,"7057 Wentworth
Chicago, IL 60621
(41.77510250800049, -87.63886642199964)"
74th & Ashland Currency,Currency Exchange,773-776-7777,7356 S. Ashland Avenue,Varies,Purchase Transit Cards and Passes.,41.759557,-87.663642,Chicago,"7356 Ashland Avenue
Chicago, IL 60636
(41.7596203380005, -87.66365038799967)"
75th & Cottage Currency,Currency Exchange,773-783-4300,7500 S. Cottage Grove Avenue,Varies,Purchase Transit Cards and Passes.,41.758489,-87.605387,Chicago,"7500 Cottage Grove Avenue
Chicago, IL 60619
(41.75849303500047, -87.60542283699965)"
75th & Exchange Currency,Currency Exchange,773-721-8400,2640 E. 75th Street,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.759191,-87.559925,Chicago,"2640 75th Street
Chicago, IL 60649
(41.759226208000484, -87.55993802399968)"
75th & King Drive C E ,Ventra Retail Location,,345 East 75th Street,Varies,Varies,41.7583703,-87.6163031,Chicago ,"345 75th Street
Chicago 60619
(41.75836008900046, -87.61645658099968)"
75th & King Drive Currency,Currency Exchange,773-483-4787,345 E. 75th,Varies,Purchase Transit Cards and Passes.,41.758382,-87.616545,Chicago,"345 75th
Chicago, IL 60619
(41.7458432410005, -87.60576617099969)"
75th & Stony Island C E,Ventra Retail Location,,1611 East 75th Street,Varies,Varies,41.758519,-87.585163,Chicago ,"1611 75th Street
Chicago 60649
(41.75877110500045, -87.58516036899965)"
75th & Stony Island Currency,Currency Exchange,773-684-5821,1611 E. 75th Street,Varies,Purchase Transit Cards and Passes.,41.758773,-87.585249,Chicago,"1611 75th Street
Chicago, IL 60649
(41.75877110500045, -87.58516036899965)"
75th & Vincennes Currency,Currency Exchange,773-224-4600,250 W. 75th Street,Varies,Purchase Transit Cards and Passes.,41.758128,-87.631411,Chicago,"250 75th Street
Chicago, IL 60620
(41.75738332700047, -87.67210735299966)"
79th & Cottage C E  ,Ventra Retail Location,,7859 South Cottage Grove,Varies,Varies,41.7517956,-87.6052162,Chicago ,"7859 Cottage Grove
Chicago 60620
(41.742793047000475, -87.65344826099965)"
79th & Cottage Currency,Currency Exchange,773-874-2713,7859 S. Cottage Grove Avenue,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.751377,-87.605209,Chicago,"7859 Cottage Grove Avenue
Chicago, IL 60619
(41.751607023000474, -87.60519321399966)"
79th & Jeffery Currency,Currency Exchange,773-374-3206,1955 E. 79th Street,Cash,Purchase new Transit Cards and Passes AND add value to Transit Cards and Chicago Cards.,41.751604,-87.576212,Chicago,"1955 79th Street
Chicago, IL 60617
(41.72629071600045, -87.55734977399965)"
79th & Kedzie Currency,Currency Exchange,773-778-4844,3247 W. 79th Street,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.749686,-87.70408,Chicago,"3247 79th Street
Chicago, IL 60652
(41.749730298000486, -87.70425105799967)"
79th & Rhodes Currency,Currency Exchange,773-224-7777,531 E. 79th Street,Varies,Purchase Transit Cards and Passes.,41.751181,-87.611232,Chicago,"531 79th Street
Chicago, IL 60619
(41.751124682000466, -87.61140763999964)"
79th & Vincennes Currency,Currency Exchange,773-483-6735,353 W. 79th Street,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.750789,-87.633936,Chicago,"353 79th Street
Chicago, IL 60620
(41.7507790300005, -87.63343074299968)"
79th Rail Station,CTA Rail Station,1-888-YOURCTA,15 W. 79th Street,Cash,Purchase new Transit Cards and add value to Transit Cards and Chicago Cards.,41.750419,-87.625112,Chicago,"15 79th Street
Chicago, IL 60620
(41.7509305480005, -87.62605691399966)"
"81st & Cicero Currency Exchange, Inc.",Ventra Retail Location,,8063 S Cicero,Varies,Varies,41.747822,-87.741226,Chicago,"8063 Cicero
Chicago 60652
(41.746760037000456, -87.71793683299967)"
83rd & Racine Currency,Currency Exchange,773-846-0885,8258 S. Racine Avenue,Varies,Purchase Transit Cards and Passes.,41.743307,-87.65354,Chicago,"8258 Racine Avenue
Chicago, IL 60620
(41.74341444300046, -87.65357016699966)"
87th & Bishop C E,Ventra Retail Location,,1435 West 87th Street,Varies,Varies,41.7357085,-87.6596494,Chicago ,"1435 87th Street
Chicago 60620
(41.73584068600047, -87.65963007499965)"
87th & Bishop Currency,Currency Exchange,773-779-8282,1435 W. 87th Street,Varies,Purchase Transit Cards and Passes.,41.735843,-87.659563,Chicago,"1435 87th Street
Chicago, IL 60620
(41.73584068600047, -87.65963007499965)"
87th & Cottage Currency,Currency Exchange,773-483-7749,816 E. 87th Street,Varies,Purchase Transit Cards and Passes.,41.736659,-87.604088,Chicago,"816 87th Street
Chicago, IL 60619
(41.736701482000456, -87.60414891999966)"
87th & Halsted C E,Ventra Retail Location,,808 W. 87th St. Unit D,Varies,Varies,41.736483,-87.644072,Chicago ,"808 87th St
Chicago 60620
(41.73627048800046, -87.64406043499969)"
87th & Halsted Currency,Currency Exchange,773-224-7400,808 W. 87th Street,Varies,Purchase Transit Cards and Passes.,41.736068,-87.644063,Chicago,"808 87th Street
Chicago, IL 60620
(41.73627048800046, -87.64406043499969)"
87th & Kedzie Currency,Currency Exchange,773-434-1781,3218 W. 87th Street,Varies,"Purchase Chicago Cards, Transit Cards and Passes.",41.736012,-87.702402,Chicago,"3218 87th Street
Chicago, IL 60652
(41.735207139000465, -87.70252279099964)"
"87th & Kedzie Currency Exchange, Inc",Ventra Retail Location,,3218 W 87th ST,Varies,Varies,41.737768,-87.702495,Chicago,"3218 87th ST
Chicago 60652
(41.735207139000465, -87.70252279099964)"
